Date, Open, High, Low, Close, Volume,Company
04/23/2021,145,145,144.5,145,4600,WTK
04/22/2021,145,145,140,140.5,5600,WTK
04/21/2021,144,144,143,143.5,500,WTK
04/20/2021,145,145,145,145,2500,WTK
04/19/2021,143,143,143,143,1100,WTK
04/16/2021,142,145,142,144,300,WTK
04/15/2021,145.5,145.5,145.5,145.5,200,WTK
04/14/2021,146,146,143,143,39500,WTK
04/09/2021,145.5,145.5,140,143,2500,WTK
04/08/2021,140,145.25,140,141.25,400,WTK
04/07/2021,146,146,145.5,145.75,200,WTK
04/06/2021,145.75,145.75,145.5,145.5,500,WTK
04/01/2021,146.5,146.5,146.5,146.5,100,WTK
03/31/2021,147,147,147,147,100,WTK
03/30/2021,148,148,135,136.25,1100,WTK
03/29/2021,135.25,135.25,135,135.25,300,WTK
03/26/2021,148,148,146,147.5,900,WTK
03/24/2021,140,148.5,140,146.75,1000,WTK
03/23/2021,135.5,135.5,135.5,135.5,100,WTK
03/19/2021,135,135,135,135,4600,WTK
03/18/2021,135,135,135,135,1100,WTK
03/17/2021,135,135,135,135,100,WTK
03/16/2021,133.5,135,133.5,134.75,6800,WTK
03/15/2021,133,133,133,133,3400,WTK
03/12/2021,133,133,130.5,132.5,600,WTK
03/11/2021,133,133,133,133,600,WTK
03/10/2021,133,133,133,133,3900,WTK
03/09/2021,130,130,130,130,1000,WTK
03/08/2021,135,135,135,135,900,WTK
03/05/2021,133,133,133,133,600,WTK
03/03/2021,130.25,130.25,130,130.25,4000,WTK
03/02/2021,130,130,130,130,3300,WTK
03/01/2021,134,134,133,133.75,1500,WTK
02/26/2021,135,135,134,134.5,1400,WTK
02/25/2021,134,134,134,134,500,WTK
02/24/2021,135,135,135,135,600,WTK
02/22/2021,135,135,135,135,100,WTK
02/19/2021,135,135,135,135,3800,WTK
02/18/2021,135,135,135,135,7600,WTK
02/17/2021,135,135,135,135,1100,WTK
02/12/2021,135,135,135,135,300,WTK
02/11/2021,135,135,133,134.75,800,WTK
02/10/2021,135,135,135,135,500,WTK
02/09/2021,134.5,135,134.5,135,2300,WTK
02/08/2021,135,135,134.5,134.5,500,WTK
02/05/2021,135,135,135,135,100,WTK
02/04/2021,136.25,136.25,132,134.25,800,WTK
02/03/2021,136.75,137,136.25,136.75,5100,WTK
